step:25/652 train_time:1342ms step_avg:53.68ms
step:50/652 train_time:1773ms step_avg:35.46ms
step:75/652 train_time:2222ms step_avg:29.63ms
step:100/652 train_time:2679ms step_avg:26.79ms
step:125/652 train_time:3128ms step_avg:25.03ms
step:150/652 train_time:3586ms step_avg:23.91ms
step:175/652 train_time:4134ms step_avg:23.62ms
step:200/652 train_time:4947ms step_avg:24.73ms
step:225/652 train_time:5751ms step_avg:25.56ms
step:250/652 train_time:6563ms step_avg:26.25ms
step:275/652 train_time:7369ms step_avg:26.80ms
step:300/652 train_time:8183ms step_avg:27.28ms
step:325/652 train_time:8989ms step_avg:27.66ms
step:350/652 train_time:9800ms step_avg:28.00ms
step:375/652 train_time:10940ms step_avg:29.17ms
step:400/652 train_time:12146ms step_avg:30.36ms
step:425/652 train_time:13338ms step_avg:31.38ms
step:450/652 train_time:14541ms step_avg:32.31ms
step:475/652 train_time:15750ms step_avg:33.16ms
step:500/652 train_time:16957ms step_avg:33.91ms
step:525/652 train_time:18814ms step_avg:35.84ms
step:550/652 train_time:20089ms step_avg:36.53ms
step:575/652 train_time:21368ms step_avg:37.16ms
step:600/652 train_time:22643ms step_avg:37.74ms
step:625/652 train_time:23872ms step_avg:38.20ms
step:650/652 train_time:24676ms step_avg:37.96ms
step:651/652 train_time:24700ms step_avg:37.94ms
step:652/652 train_time:24724ms step_avg:37.92ms
step:652/652 val_loss:3.2755 train_time:24886ms step_avg:38.17ms
